,run,model,score
0,0,knn,0.9607843137254902
1,0,mlp,0.8990196078431373
2,0,lvq,0.0196078431372549
3,1,knn,0.9558823529411765
4,1,mlp,0.9156862745098039
5,1,lvq,0.0196078431372549
6,2,knn,0.9470588235294117
7,2,mlp,0.9254901960784314
8,2,lvq,0.0196078431372549
9,3,knn,0.9549019607843138
10,3,mlp,0.9196078431372549
11,3,lvq,0.0196078431372549
12,4,knn,0.9509803921568627
13,4,mlp,0.9205882352941176
14,4,lvq,0.0196078431372549
15,5,knn,0.9519607843137254
16,5,mlp,0.9205882352941176
17,5,lvq,0.0196078431372549
18,6,knn,0.9549019607843138
19,6,mlp,0.9127450980392157
20,6,lvq,0.0196078431372549
21,7,knn,0.9637254901960784
22,7,mlp,0.9166666666666666
23,7,lvq,0.0196078431372549
24,8,knn,0.9411764705882353
25,8,mlp,0.9088235294117647
26,8,lvq,0.0196078431372549
27,9,knn,0.9676470588235294
28,9,mlp,0.8343137254901961
29,9,lvq,0.0196078431372549
