,run,model,score
0,0,knn,0.9529411764705882
1,0,mlp,0.7627450980392156
2,0,lvq,0.0196078431372549
3,1,knn,0.9558823529411765
4,1,mlp,0.7607843137254902
5,1,lvq,0.0196078431372549
6,2,knn,0.9490196078431372
7,2,mlp,0.7186274509803922
8,2,lvq,0.0196078431372549
9,3,knn,0.9392156862745098
10,3,mlp,0.7549019607843137
11,3,lvq,0.0196078431372549
12,4,knn,0.9470588235294117
13,4,mlp,0.7745098039215687
14,4,lvq,0.0196078431372549
15,5,knn,0.9519607843137254
16,5,mlp,0.7823529411764706
17,5,lvq,0.0196078431372549
18,6,knn,0.95
19,6,mlp,0.7803921568627451
20,6,lvq,0.0196078431372549
21,7,knn,0.9627450980392157
22,7,mlp,0.7382352941176471
23,7,lvq,0.0196078431372549
24,8,knn,0.9470588235294117
25,8,mlp,0.7598039215686274
26,8,lvq,0.0196078431372549
27,9,knn,0.9431372549019608
28,9,mlp,0.7647058823529411
29,9,lvq,0.0196078431372549
